Day,Month,Year,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,Hourly Demand Met (in MW)
2,1,2023,8,17.9,10.5,62,0,267,5.5,1020.9,1,4047.37
2,1,2023,9,16.4,10.9,70,0,0,0,1020.6,1,4368.82
2,1,2023,10,16.1,11.3,73,0,291,0,1020.4,5,4558.09
2,1,2023,11,15.8,11.6,76,0,232,0,1020.3,5,4477.58
2,1,2023,12,15,11.6,80,0,0,0,1020.5,5,4248.89
2,1,2023,13,13.8,11.5,86,0,235,1.8,1020.8,5,3883.05
2,1,2023,14,12.2,11.1,93,0,251,1.8,1021.5,5,3780.57
2,1,2023,15,12.2,10.8,91,0,0,0,1022.1,5,3663.76
2,1,2023,16,9.9,9.9,100,0,235,0,1022.6,5,3574.93
2,1,2023,17,9.5,9.5,100,0,293,0,1022.7,5,3758.99
2,1,2023,18,10.2,9.4,95,0,0,0,1022.8,5,3920.91
2,1,2023,19,8.8,8.8,100,0,275,0,1022.7,5,3817.45
2,1,2023,20,8.5,8.5,100,0,266,0,1022.6,5,3629.84
2,1,2023,21,9.2,8.7,97,0,0,0,1022.1,5,3395.06
2,1,2023,22,8.6,8.5,99,0,251,0,1022.1,5,3094.94
2,1,2023,23,8,8,100,0,278,0,1022.2,5,2619.27
3,1,2023,0,11.2,9.3,88,0,270,5.4,1021.5,5,2235.57
3,1,2023,1,7.5,7.5,100,0,249,1.8,1022.9,5,1991.23
3,1,2023,2,7.5,7.5,100,0,244,1.8,1023.5,5,1891.33
3,1,2023,3,11.2,8.8,85,0,270,7.6,1023.6,5,1826.85
3,1,2023,4,9.6,8.4,92,0,270,3.7,1024.3,5,1898.18
3,1,2023,5,11.8,9.2,84,0,283,5.5,1024.4,5,2180.02
3,1,2023,6,13.4,9.4,77,0,250,7.6,1024,5,2834.47
3,1,2023,7,15,10,72,0,298,7.4,1023.5,5,3566.95
3,1,2023,8,16.2,9.8,66,0,303,7.4,1022.4,5,4175.7
3,1,2023,9,15.6,9.3,66,0,50,5.4,1021.3,5,4506.01
3,1,2023,10,15.4,10,70,0,276,7.4,1021.3,5,4683.75
3,1,2023,11,14.9,10.3,74,0,279,5.5,1021.3,5,4775.98
3,1,2023,12,14.6,9.2,70,0,0,0,1021.1,5,4467.37
3,1,2023,13,13,10,82,0,282,3.7,1021.8,5,4069.78
3,1,2023,14,11.7,9.8,88,0,281,1.8,1022.3,5,3871.37
3,1,2023,15,10,8.4,90,0,0,0,1022.7,5,3819.04
3,1,2023,16,9.6,8,90,0,280,0,1022.9,5,3750.72
3,1,2023,17,9.1,7.9,92,0,280,0,1023.2,5,3911.8
3,1,2023,18,7.4,6.5,94,0,0,0,1022.1,5,4086.25
3,1,2023,19,8.3,7.5,95,0,270,1.8,1023.3,5,3995.82
3,1,2023,20,8,7.6,97,0,274,1.8,1023.2,5,3799.02
3,1,2023,21,6.6,6.2,97,0,0,0,1022.5,5,3579.99
3,1,2023,22,6.6,5.9,95,0,268,1.8,1022.1,5,3229.47
3,1,2023,23,6.3,5.9,97,0,264,1.8,1022.2,5,2749.73
4,1,2023,0,7.6,7.2,97,0,320,9.4,1022.5,5,2314.25
4,1,2023,1,6.3,6,98,0,265,3.7,1023,5,2058.93
4,1,2023,2,6.8,6.2,96,0,268,3.7,1023.7,5,1934.03
4,1,2023,3,6.6,6.6,100,0,0,0,1025.1,5,1893.25
4,1,2023,4,8.7,7.3,91,0,283,1.8,1024.9,5,1956.69
4,1,2023,5,10.8,8,83,0,283,5.5,1024.8,5,2254.8
4,1,2023,6,10.4,6.5,77,0,290,7.6,1024.4,5,2932.14
4,1,2023,7,14.2,8.8,70,0,286,7.4,1023.6,5,3755.12
4,1,2023,8,15.4,8.9,65,0,288,9.3,1022.6,5,4416.78
4,1,2023,9,15.6,7.6,59,0,0,0,1012.5,5,4768.25
4,1,2023,10,15.2,8.2,63,0,274,1.8,1014.8,5,4991.47
4,1,2023,11,14.7,8.6,67,0,274,3.7,1017.1,5,5010.35
4,1,2023,12,13.2,8.9,75,0,0,0,1012.6,5,4740.92
4,1,2023,13,12.7,8.8,77,0,271,3.7,1020.1,5,4297.53
4,1,2023,14,11,8.6,85,0,267,1.8,1020.8,5,4162.06
4,1,2023,15,8.4,7.2,92,0,0,0,1023,5,3994.62
4,1,2023,16,8,6.9,93,0,264,0,1023,5,3938.65
4,1,2023,17,7.6,6.9,95,0,272,0,1023.1,5,4058.06
4,1,2023,18,6.6,5.7,94,0,0,0,1023.8,5,4236.14
4,1,2023,19,7,6.7,98,0,282,0,1023.1,5,4127.89
4,1,2023,20,6.7,6.7,100,0,271,0,1023.1,5,3916.44
4,1,2023,21,5.4,5,97,0,0,0,1023.3,5,3695.3
4,1,2023,22,5.5,5.1,97,0,259,0,1023.2,5,3407.98
4,1,2023,23,5.6,5,96,0,233,1.8,1023.1,5,2872.44
5,1,2023,0,7,7,100,0,270,5.4,1023,5,2404.84
5,1,2023,1,6.1,5.1,93,0,246,1.8,1023.8,5,2121.36
5,1,2023,2,6.5,5.3,92,0,252,1.8,1024.6,5,1981.1
5,1,2023,3,7,7,100,0,270,7.6,1025.3,5,1927.34
5,1,2023,4,8.6,7.4,92,0,272,7.4,1025.4,5,1993.77
5,1,2023,5,10.1,7.7,85,0,275,5.5,1025.6,5,2276.25
5,1,2023,6,11.7,8.2,79,0,278,5.5,1025.7,5,2934.26
5,1,2023,7,13.1,8.4,73,0,276,5.5,1024.6,5,3767.05
5,1,2023,8,14.6,8.5,67,0,273,5.5,1023.6,5,4391.24
5,1,2023,9,15,8.2,64,0,270,9.4,1022.7,5,4752.49
5,1,2023,10,14.6,10.2,75,0,277,3.7,1022.7,5,5074.89
5,1,2023,11,14.3,10.1,76,0,273,3.7,1022.5,5,5118.49
5,1,2023,12,13.8,9,73,0,0,0,1023.2,5,4808.38
5,1,2023,13,12.3,9.7,84,0,266,3.7,1023,5,4267.45
5,1,2023,14,10.6,9.4,92,0,260,1.8,1023.6,5,4106.89
5,1,2023,15,9.5,7.3,86,0,0,0,1025.2,5,3930.93
5,1,2023,16,8.3,8.3,100,0,246,0,1024.5,5,3912.42
5,1,2023,17,7.7,7.7,100,0,237,0,1024.7,5,4087.82
5,1,2023,18,8.2,7,92,0,0,0,1026,5,4337.3
5,1,2023,19,6.8,6.8,100,0,241,0,1024.7,5,4249.96
5,1,2023,20,6.6,6.6,100,0,261,0,1024.5,5,4001.87
5,1,2023,21,6.3,6.3,100,0,262,0,1024.3,5,3745.16
5,1,2023,22,6.4,6,97,0,326,1.8,1024.6,5,3440.64
5,1,2023,23,6.3,5.6,95,0,270,1.8,1024.3,5,2848.18
6,1,2023,0,5.6,5.6,100,0,200,5.4,1023.9,5,2329.92
6,1,2023,1,6.2,5.5,95,0,252,1.8,1024.8,5,2013.87
6,1,2023,2,6.1,5.4,95,0,249,1.8,1025.5,5,1866.7
6,1,2023,3,7.6,7.2,97,0,0,0,1025.6,5,1799.94
6,1,2023,4,8.1,6.4,89,0,257,3.7,1026.2,5,1858.6
6,1,2023,5,10.1,7.2,82,0,253,3.7,1026.3,5,2168.27
6,1,2023,6,11,6.7,75,0,230,7.6,1026.6,5,2920.56
6,1,2023,7,13.5,7.9,69,0,257,3.7,1025.4,5,3813.85
6,1,2023,8,15,8,63,0,262,5.5,1024.4,5,4483.63
6,1,2023,9,15.5,7,57,0,0,0,1023.2,5,4962.37
6,1,2023,10,15,7.8,62,0,246,1.8,1023.1,5,5372.37
6,1,2023,11,14.5,8.2,66,0,246,1.8,1023,5,5422.01
6,1,2023,12,13.6,6.9,64,0,0,0,1022.7,5,5249.82
6,1,2023,13,12.3,8.6,78,0,242,1.8,1023.5,5,4629.94
6,1,2023,14,10.5,8.3,86,0,236,1.8,1024.1,5,4314.58
6,1,2023,15,9,8.2,95,0,0,0,1024.4,5,3952.11
6,1,2023,16,8.2,7.8,97,0,260,0,1024.5,5,4050.97
6,1,2023,17,7.4,7.3,99,0,260,0,1024.7,5,4159.86
6,1,2023,18,6.6,5.2,91,0,0,0,1024.7,5,4387.24
6,1,2023,19,6.5,6.5,100,0,260,0,1024.6,5,4304.15
6,1,2023,20,6.3,6.3,100,0,107,0,1024.3,5,4102.64
6,1,2023,21,5.4,4.5,94,0,0,0,1024.4,5,3871.07
6,1,2023,22,5.9,4.9,93,0,31,1.8,1023.6,5,3520.36
6,1,2023,23,5.6,4.9,95,0,263,1.8,1023.4,5,2926.55
7,1,2023,0,6.2,6.2,100,0,0,0,1022.7,5,2384.85
7,1,2023,1,5.8,4.9,94,0,256,3.7,1023.6,5,2071.43
7,1,2023,2,6.3,4.9,91,0,257,3.7,1024.1,5,1919.56
7,1,2023,3,6.2,6.2,100,0,230,7.6,1024,5,1844.87
7,1,2023,4,8.4,6.5,88,0,241,7.4,1024.1,5,1894.14
7,1,2023,5,10.6,6.9,78,0,252,7.4,1024.1,5,2161.4
7,1,2023,6,11,5.9,71,0,250,3.6,1024.3,5,2804.53
7,1,2023,7,14.4,7.2,62,0,264,9.3,1023,5,3692.04
7,1,2023,8,15.9,7.4,57,0,267,9.3,1021.9,5,4377.96
7,1,2023,9,15.2,7,58,0,250,7.6,1020.9,5,4798.65
7,1,2023,10,16.3,5.9,50,0,269,7.4,1020.8,1,5070.12
7,1,2023,11,15.7,6.7,55,0,266,5.5,1020.5,1,5012.11
7,1,2023,12,14.2,8.8,70,0,0,0,1020.1,1,4711.73
7,1,2023,13,13.5,7.7,68,0,262,3.7,1020.9,5,4207.17
7,1,2023,14,11.9,8,77,0,263,1.8,1021.5,5,3908.3
7,1,2023,15,8.4,6.7,89,0,0,0,1022.4,5,3748.01
7,1,2023,16,9.2,8,92,0,278,1.8,1022,5,3732.72
7,1,2023,17,8.6,7.5,93,0,276,1.8,1022,5,3945.74
7,1,2023,18,6.5,6.1,97,0,0,0,1022,5,4217.43
7,1,2023,19,7.6,7,96,0,277,1.8,1021.7,5,4126
7,1,2023,20,7.4,7,97,0,280,1.8,1021.4,5,3951.26
7,1,2023,21,5.5,5.4,99,0,0,0,1020,5,3770.37
7,1,2023,22,5.5,5.5,100,0,311,1.8,1020.4,5,3465.67
7,1,2023,23,5.5,5.5,100,0,278,1.8,1020.1,5,2897.39
8,1,2023,0,6.6,6.6,100,0,270,7.6,1019.6,5,2350.59
8,1,2023,1,6,5.6,97,0,267,3.7,1020.3,5,2009.9
8,1,2023,2,6.6,5.9,95,0,266,3.7,1020.7,5,1844.39
8,1,2023,3,5,5,100,0,290,7.6,1020.6,5,1770.5
8,1,2023,4,9.5,6.6,82,0,271,7.4,1021,5,1813.34
8,1,2023,5,11.8,6.9,72,0,274,7.4,1020.9,5,2043.68
8,1,2023,6,8.6,6.9,89,0,270,5.4,1021.6,5,2523.4
8,1,2023,7,15.5,7.8,60,0,273,9.3,1019.8,5,3217.45
8,1,2023,8,17,8.2,56,0,270,11.1,1018.7,5,3959.41
8,1,2023,9,18,8.8,55,0,270,7.6,1017.8,1,4559.18
8,1,2023,10,16.1,8.3,60,0,258,7.4,1018.3,5,5047.19
8,1,2023,11,15.6,8.8,64,0,253,5.5,1018.1,5,5153
8,1,2023,12,15.4,10.6,73,0,270,3.6,1017.8,5,4930.98
8,1,2023,13,13.5,9.4,76,0,246,3.7,1018.6,5,4393.63
8,1,2023,14,11.8,9.5,86,0,245,1.8,1019.3,5,3990.54
8,1,2023,15,10.2,9.4,95,0,239,0,1020,5,3715.97
8,1,2023,16,9.4,8.8,96,0,245,0,1020.1,5,3592.76
8,1,2023,17,8.7,8.6,99,0,254,0,1020.4,5,3765.2
8,1,2023,18,7.4,7,97,0,0,0,1020.7,5,4005.12
8,1,2023,19,7.9,7.9,100,0,226,0,1020.5,5,4014.78
8,1,2023,20,7.7,7.7,100,0,126,0,1020.4,5,3879.12
8,1,2023,21,5.6,5.2,97,0,0,0,1019.3,5,3727.41
8,1,2023,22,6.8,6.5,98,0,250,0,1020,5,3394.07
8,1,2023,23,6.6,6.5,99,0,256,0,1020,5,2829.25
9,1,2023,0,7.2,7.2,100,0,0,0,1020,5,2293.34
9,1,2023,1,6.7,6.6,99,0,250,0,1020.7,5,1970.26
9,1,2023,2,7,6.7,98,0,244,0,1021.4,5,1816.71
9,1,2023,3,8.2,8.2,100,0,0,0,1022.2,5,1749.27
9,1,2023,4,10.2,8.6,90,0,275,1.8,1022.2,5,1816.4
9,1,2023,5,12.3,9.1,81,0,275,3.7,1022.2,5,2110.67
9,1,2023,6,10.4,9.9,97,0,250,5.4,1022.8,5,2865.56
9,1,2023,7,14,11,82,0,0,0,1021,5,3833.3
9,1,2023,8,17.4,9.8,61,0,289,5.5,1020.3,5,4580.04
9,1,2023,9,18.4,11.9,66,0,0,0,1019.3,5,5034.71
9,1,2023,10,17,11.3,69,0,266,5.5,1019.4,5,5412.06
9,1,2023,11,16.6,11.7,73,0,249,3.7,1019.1,5,5340.97
9,1,2023,12,15,11.8,81,0,0,0,1018.9,5,5046.15
9,1,2023,13,14.6,12.1,85,0,214,1.8,1019.5,5,4548.73
9,1,2023,14,13.1,11.8,92,0,190,1.8,1020,5,4387.13
9,1,2023,15,12.6,10.3,86,0,0,0,1020.5,5,4184.69
9,1,2023,16,11.8,10,89,0,145,0,1020.7,5,4111.34
9,1,2023,17,11.1,10,93,0,199,0,1020.8,5,4246.49
9,1,2023,18,11.2,9.6,90,0,0,0,1021.2,5,4406.74
9,1,2023,19,10.1,9.8,98,0,268,0,1020.8,5,4322.85
9,1,2023,20,9.8,9.7,99,0,260,0,1020.6,5,4131.11
9,1,2023,21,9.6,8.8,95,0,0,0,1020.9,5,3881.88
9,1,2023,22,9.6,8.7,94,0,276,1.8,1020.5,5,3546.5
9,1,2023,23,9.3,8.5,95,0,268,1.8,1020.4,5,2918.61
10,1,2023,0,7.8,7.8,100,0,270,7.6,1020.3,5,2370.07
10,1,2023,1,7,7,100,0,260,11,1020,5,2041.27
10,1,2023,2,9.4,8.3,93,0,258,3.7,1021.2,5,1877.44
10,1,2023,3,8.2,8.2,100,0,250,13,1021.4,5,1811.01
10,1,2023,4,10.3,8.7,90,0,253,11.1,1021.3,5,1871.32
10,1,2023,5,12.3,9.5,83,0,257,11.1,1021.2,5,2176.95
10,1,2023,6,11.6,8.8,83,0,290,3.6,1021.3,5,2913.58
10,1,2023,7,16,10.3,69,0,268,11.1,1019.9,5,3865.78
10,1,2023,8,17.6,10.5,63,0,273,11.1,1018.8,5,4704.89
10,1,2023,9,17,9.4,61,0,270,9.4,1017.6,5,5151.64
10,1,2023,10,16.7,9.9,64,0,270,7.4,1017.4,5,5433.73
10,1,2023,11,16.5,10.1,66,0,270,7.4,1017.2,5,5343.46
10,1,2023,12,16.8,9.7,63,0,270,3.6,1017.1,5,5052.87
10,1,2023,13,14.9,10.7,76,0,271,5.5,1017.5,5,4438.69
10,1,2023,14,13.6,10.6,82,0,271,3.7,1017.9,5,4175.26
10,1,2023,15,10.2,9.4,95,0,0,0,1018.5,5,4005.26
10,1,2023,16,11.6,10.2,91,0,271,1.8,1018.3,5,3956.74
10,1,2023,17,10.9,10,94,0,271,1.8,1018.3,5,4115.98
10,1,2023,18,8,7.6,97,0,0,0,1019.2,5,4338.15
10,1,2023,19,9.9,9.4,97,0,271,1.8,1017.8,5,4251.92
10,1,2023,20,9.7,9.2,97,0,270,1.8,1017.4,5,4110.1
10,1,2023,21,6.4,6.4,100,0,0,0,1018.8,5,3870.28
10,1,2023,22,6.6,6.5,99,0,266,0,1018.1,5,3557.4
10,1,2023,23,6.9,6.6,98,0,256,1.8,1017.4,5,2936.55
11,1,2023,0,6,6,100,0,0,0,1016.5,5,2361.31
11,1,2023,1,7.6,7.2,97,0,248,1.8,1016.9,5,2039.89
11,1,2023,2,8,7.4,96,0,240,1.8,1017,5,1889.86
11,1,2023,3,7.8,7.8,100,0,270,11.2,1016.5,5,1819.38
11,1,2023,4,10.2,8.5,89,0,264,9.3,1016.6,5,1876.3
11,1,2023,5,12.5,9.1,80,0,254,9.3,1016.7,5,2170.81
11,1,2023,6,12.6,9.4,81,0,70,3.6,1016.7,5,2917.87
11,1,2023,7,16.4,10.3,67,0,242,7.4,1015.7,5,3874.27
11,1,2023,8,17.9,10.8,63,0,248,7.4,1014.6,5,4698.69
11,1,2023,9,18.4,11.5,64,0,90,7.6,1012.3,5,5171.62
11,1,2023,10,17.8,11.8,68,0,94,7.4,1012.3,5,5414.79
11,1,2023,11,17.2,11.9,71,0,100,5.5,1012.4,5,5292.03
11,1,2023,12,17.6,11.4,67,0,90,7.6,1011.7,5,4939.18
11,1,2023,13,15.3,11.9,80,0,110,5.5,1013,5,4438.71
11,1,2023,14,14.1,11.8,86,0,115,3.7,1013.5,5,4243.72
11,1,2023,15,12.6,10.3,86,0,90,9.4,1014.2,5,4089.97
11,1,2023,16,12.2,10.3,88,0,92,7.4,1014.4,5,4039.43
11,1,2023,17,11.8,10,89,0,96,5.5,1014.6,5,4211.8
11,1,2023,18,11.4,9.5,88,0,90,11.2,1015.3,5,4390.11
11,1,2023,19,11.2,10.1,93,0,107,3.7,1014.5,5,4326.21
11,1,2023,20,10.9,10.1,95,0,107,5.5,1014.2,5,4176.83
11,1,2023,21,10.6,9,90,0,90,9.4,1013.7,5,3945.41
11,1,2023,22,10.7,9.1,90,0,94,5.5,1013.8,5,3629.67
11,1,2023,23,10.6,9.2,91,0,92,5.5,1013.4,5,3066.17
12,1,2023,0,10.8,10,95,0,70,5.4,1012.5,5,2537.25
12,1,2023,1,10.7,9.6,93,0,91,5.5,1013.4,5,2199.92
12,1,2023,2,10.9,10,94,0,93,5.5,1013.9,5,2057.75
12,1,2023,3,10.6,10.1,97,0,110,5.4,1013.6,5,1983.86
12,1,2023,4,12.1,10.8,92,0,117,5.5,1013.7,5,2040.88
12,1,2023,5,13.7,11.4,86,0,122,7.4,1013.8,5,2306.12
12,1,2023,6,14.8,10.2,74,0,90,7.6,1013.9,5,2969.34
12,1,2023,7,16.5,12.7,78,0,122,9.3,1013,5,3911.45
12,1,2023,8,17.7,13.2,75,0,117,9.3,1012,5,4617.98
12,1,2023,9,20.6,13.8,65,0,140,7.6,1010.1,5,4915.07
12,1,2023,10,19.7,13.6,68,0,136,7.4,1010.3,5,5095.69
12,1,2023,11,18.8,13.9,73,0,132,5.5,1010.5,5,4917.39
12,1,2023,12,18.8,13.9,73,0,70,7.6,1010,5,4551.78
12,1,2023,13,16.6,13.7,83,0,124,5.5,1011.1,5,4005.18
12,1,2023,14,15.4,13.4,88,0,122,3.7,1011.6,5,3888.94
12,1,2023,15,15.4,13.2,87,0,90,5.4,1011.6,5,3758.37
12,1,2023,16,14.5,13,91,0,94,3.7,1011.9,5,3768
12,1,2023,17,13.7,12.8,94,0,101,3.7,1012.2,5,3924.84
12,1,2023,18,14.2,12.8,91,0,90,7.6,1012.3,5,4136.38
12,1,2023,19,12.6,12.3,98,0,118,1.8,1012.2,5,4043.84
12,1,2023,20,12.3,12.1,99,0,121,3.7,1012,5,3767.88
12,1,2023,21,12.6,11.5,93,0,90,7.6,1011,5,3524.67
12,1,2023,22,12.4,11.3,93,0,91,5.5,1011.2,5,3227.36
12,1,2023,23,12.3,11.2,93,0,92,5.5,1011.3,5,2722.5
13,1,2023,0,12.2,11.7,97,0,70,5.4,1011.8,5,2232.62
13,1,2023,1,12,11.2,95,1.6,88,3.7,1012.2,5,1922.94
13,1,2023,2,11.9,11.4,97,0.1,82,3.7,1012.9,5,1778.91
13,1,2023,3,12.8,12.3,97,0,0,0,1014,5,1718.42
13,1,2023,4,13.3,12.2,93,0,97,5.5,1013.8,5,1778.07
13,1,2023,5,14.7,12.9,89,0,113,5.5,1014,5,2071.43
13,1,2023,6,18.2,12.9,71,0,90,7.6,1014.2,5,2769.85
13,1,2023,7,17.3,14,81,0,125,7.4,1013.5,5,3715.29
13,1,2023,8,18.5,14.6,78,0,125,7.4,1012.9,5,4433.62
13,1,2023,9,21.4,14.3,64,0,110,7.6,1011.7,5,4823.92
13,1,2023,10,20.5,14.4,68,0,111,5.5,1012,5,5068.73
13,1,2023,11,19.7,14.5,72,0,113,5.5,1012.2,5,5029.5
13,1,2023,12,19.2,15.1,77,0,0,0,1012.4,5,4863.61
13,1,2023,13,17.5,14.4,82,0,121,3.7,1013.3,5,4306.23
13,1,2023,14,16.1,14.1,88,0,200,3.7,1014,5,4098.75
13,1,2023,15,16,14.4,90,0,270,11.2,1015.1,5,3891.87
13,1,2023,16,15.2,13.9,92,0,271,9.3,1015.4,5,3775.83
13,1,2023,17,14.3,13.3,94,0,272,5.5,1015.7,5,3883.3
13,1,2023,18,15.2,13.7,91,0,250,11.2,1016.1,5,4073.19
13,1,2023,19,13.2,12.7,97,0,276,5.5,1015.8,5,3970.51
13,1,2023,20,12.8,12.3,97,0,277,7.4,1015.7,5,3693.46
13,1,2023,21,13.7,12.8,94,0,250,7.6,1015.5,5,3442.95
13,1,2023,22,12.9,12.3,96,0,270,11.1,1016,5,3181.1
13,1,2023,23,12.7,11.8,94,0,271,11.1,1016,5,2797.71
14,1,2023,0,11.6,11.1,97,0,230,11.2,1015.9,5,2361.53
14,1,2023,1,12.1,11.2,94,0,271,11.1,1016.7,5,2083.83
14,1,2023,2,11.6,11,96,0,270,11.1,1017.4,5,1933.57
14,1,2023,3,12,10.1,88,0,270,11.2,1017.6,5,1865.19
14,1,2023,4,13,10.4,84,0,276,13,1017.9,5,1920.02
14,1,2023,5,14,10.6,80,0,281,13,1018.2,5,2209.16
14,1,2023,6,15.4,8.9,65,0,270,9.4,1017.9,5,2832.41
14,1,2023,7,15.9,10.6,71,0,286,14.8,1017.8,5,3605.93
14,1,2023,8,16.7,10.5,67,0,288,14.8,1017,2,4247.38
14,1,2023,9,18,7.7,51,0,270,3.6,1014.8,2,4564.11
14,1,2023,10,17.3,8.4,56,0,276,5.5,1015.1,1,4749.93
14,1,2023,11,16.7,8.9,60,0,279,7.4,1015.5,1,4595.36
14,1,2023,12,15.6,7.1,57,0,290,5.4,1014.9,1,4296.32
14,1,2023,13,14.6,9.4,71,0,282,9.3,1016.4,1,3765
14,1,2023,14,13.1,9.2,77,0,283,7.4,1017.1,1,3513.31
14,1,2023,15,12,7.9,76,0,290,5.4,1017.6,1,3347.37
14,1,2023,16,11.4,7.9,79,0,284,5.5,1017.7,1,3319.16
14,1,2023,17,10.9,7.6,80,0,279,5.5,1017.9,1,3491.33
14,1,2023,18,10.6,7.3,80,0,250,5.4,1016.6,1,3753.78
14,1,2023,19,10,7.4,84,0,277,7.4,1017.8,1,3719.57
14,1,2023,20,9.6,7.4,86,0,279,7.4,1017.6,1,3554.78
14,1,2023,21,9.6,6.7,82,0,270,3.6,1016.1,5,3395.67
14,1,2023,22,9.1,6.4,83,0,269,7.4,1016.5,5,3126.11
14,1,2023,23,8.5,6,84,0,270,9.3,1016.4,5,2633.55
15,1,2023,0,7,3.2,77,0,0,0,1015.6,5,2239.57
15,1,2023,1,7.9,5.5,85,0,268,9.3,1016.8,5,1986.06
15,1,2023,2,7.9,5.5,85,0,266,11.1,1017.2,5,1855.56
15,1,2023,3,6.8,2.7,75,0,270,3.6,1016.8,5,1773.79
15,1,2023,4,9.1,3.5,68,0,275,7.4,1017,1,1805.74
15,1,2023,5,11.3,4.3,62,0,277,11.1,1017.2,1,2040.95
15,1,2023,6,15.2,-1,33,0,250,11.2,1017.1,1,2533.55
15,1,2023,7,14.5,5.3,54,0,279,16.7,1016.5,1,3295.24
15,1,2023,8,15.3,5.5,52,0,280,14.8,1015.6,1,3993.75
15,1,2023,9,16.6,-1.1,30,0,250,22.3,1014.4,1,4486.13
15,1,2023,10,16,0.5,35,0,253,16.7,1014.4,1,4757.7
15,1,2023,11,15.4,1.9,40,0,258,13,1014.4,1,4678.92
15,1,2023,12,14.8,3.3,46,0,270,7.6,1013.8,1,4370.33
15,1,2023,13,12.9,3.5,53,0,271,5.5,1015,1,3882.21
15,1,2023,14,11.1,4.3,63,0,275,3.7,1015.6,1,3570.59
15,1,2023,15,8.6,4.4,75,0,0,0,1015.7,1,3396.17
15,1,2023,16,8,4.4,78,0,288,0,1016.1,2,3348.48
15,1,2023,17,7.4,4.4,81,0,280,0,1016.5,2,3548.94
15,1,2023,18,5.8,4,88,0,0,0,1016.8,2,3831.51
15,1,2023,19,6.5,4.2,85,0,267,0,1016.7,5,3802.41
15,1,2023,20,6.2,3.9,85,0,260,0,1016.6,5,3671.11
15,1,2023,21,5.2,3.9,91,0,0,0,1016.1,5,3524.04
15,1,2023,22,5.6,3.6,87,0,256,0,1016.5,5,3239.13
15,1,2023,23,5.3,3.5,88,0,257,1.8,1016.5,5,2742.97
16,1,2023,0,4.2,2.7,90,0,0,0,1016.6,5,2282.08
16,1,2023,1,5,3.2,88,0,254,3.7,1017.1,5,2005.37
16,1,2023,2,5,2.9,86,0,251,3.7,1017.8,5,1844.97
16,1,2023,3,5.4,2.6,82,0,0,0,1018.3,5,1796.72
16,1,2023,4,8.3,2.3,66,0,264,3.7,1018.5,1,1868.96
16,1,2023,5,11.1,2.4,55,0,264,5.5,1018.6,1,2256.14
16,1,2023,6,15.4,3.2,44,0,340,7.6,1018.8,1,3173.44
16,1,2023,7,14.9,2.1,42,0,272,11.1,1018,1,4087.11
